term,caseOrigin,issueArea,petitioner,respondent,lcDispositionDirection,declarationUncon,partyWinning
1992,302.0,9.0,28.0,126.0,1.0,1.0,0.0
1992,48.0,9.0,130.0,27.0,1.0,1.0,1.0
1992,74.0,1.0,28.0,126.0,2.0,1.0,1.0
1992,45.0,1.0,126.0,28.0,1.0,1.0,1.0
1992,66.0,1.0,195.0,5.0,1.0,1.0,1.0
1992,85.0,9.0,28.0,28.0,1.0,1.0,1.0
1992,58.0,9.0,113.0,27.0,1.0,1.0,1.0
1992,58.0,9.0,113.0,27.0,1.0,1.0,1.0
1992,121.0,6.0,111.0,19.0,1.0,1.0,0.0
1992,55.0,10.0,28.0,151.0,2.0,1.0,0.0
1992,112.0,9.0,18.0,176.0,1.0,1.0,1.0
1992,21.0,8.0,151.0,393.0,2.0,1.0,0.0
1992,9.0,12.0,369.0,240.0,1.0,1.0,1.0
1992,48.0,2.0,19.0,215.0,2.0,1.0,1.0
1992,55.0,9.0,16.0,27.0,1.0,1.0,0.0
1992,55.0,9.0,16.0,27.0,1.0,1.0,0.0
1992,83.0,1.0,100.0,27.0,1.0,1.0,1.0
1992,126.0,2.0,218.0,165.0,2.0,1.0,1.0
1992,126.0,5.0,218.0,165.0,2.0,1.0,1.0
1992,60.0,1.0,126.0,28.0,1.0,1.0,1.0
1992,46.0,1.0,28.0,126.0,2.0,1.0,1.0
1992,121.0,1.0,126.0,28.0,1.0,1.0,0.0
1992,51.0,8.0,184.0,141.0,2.0,1.0,1.0
1992,121.0,1.0,126.0,28.0,1.0,1.0,0.0
1992,9.0,12.0,240.0,369.0,2.0,1.0,0.0
1992,66.0,1.0,100.0,27.0,1.0,1.0,0.0
1992,3.0,12.0,27.0,240.0,1.0,1.0,1.0
1992,49.0,1.0,27.0,100.0,2.0,1.0,1.0
1992,83.0,9.0,19.0,251.0,2.0,1.0,1.0
1992,83.0,2.0,19.0,251.0,2.0,1.0,1.0
1992,83.0,2.0,19.0,251.0,2.0,1.0,1.0
1992,302.0,1.0,215.0,28.0,1.0,1.0,0.0
1992,302.0,8.0,25.0,19.0,2.0,1.0,0.0
1992,302.0,8.0,25.0,19.0,2.0,1.0,0.0
1992,302.0,8.0,25.0,19.0,2.0,1.0,0.0
1992,302.0,8.0,25.0,19.0,2.0,1.0,0.0
1992,131.0,1.0,27.0,100.0,2.0,1.0,1.0
1992,72.0,2.0,170.0,28.0,1.0,1.0,0.0
1992,92.0,1.0,27.0,195.0,2.0,1.0,0.0
1992,103.0,2.0,211.0,211.0,2.0,1.0,1.0
1992,103.0,2.0,211.0,211.0,2.0,1.0,1.0
1992,103.0,2.0,211.0,211.0,2.0,1.0,1.0
1992,120.0,2.0,174.0,5.0,1.0,1.0,1.0
